centile,index,index,index,merch_channel,merch_channel,merch_channel,merch_others,merch_others,merch_others,other,other,other,donation,donation,donation,crypto,crypto,crypto,year,year,year,yearm,yearm,yearm
,mean,sem,count,mean,sem,count,mean,sem,count,mean,sem,count,mean,sem,count,mean,sem,count,mean,sem,count,mean,sem,count
"(9999.999, 12700.0]",705004.8434487545,321.92049411154227,12967,0.03632297370247552,0.0016430600733819815,12967,0.2457777435027377,0.003781098051600456,12967,0.800262204056451,0.0035111005829147504,12967,0.1682733091694301,0.0032854505004323623,12967,0.002853397084907843,0.0004684439183197961,12967,2014.2032081437494,0.027130172398056818,12967,2013.2612786303694,0.027148498462750314,12967
"(12700.0, 16400.0]",705150.6313559322,328.66584266364515,12508,0.04149344419571474,0.0017832437539829268,12508,0.2563159577870163,0.003903961077532168,12508,0.8128397825391749,0.003487648200504728,12508,0.16797249760153501,0.003342807408409277,12508,0.003517748640869843,0.0005294081355288565,12508,2014.1566197633515,0.027832285624391773,12508,2013.2157019507515,0.02791528678170285,12508
"(16400.0, 21800.0]",705161.5664862321,323.7122547846674,12747,0.046050050992390366,0.0018564826516477826,12747,0.2664156272064015,0.003915776776846834,12747,0.8226249313563976,0.003383453911214733,12747,0.17847336628226249,0.0033916464493035803,12747,0.0032948929159802307,0.0005075946511540038,12747,2014.1462304856045,0.027630288736209825,12747,2013.2155801365027,0.027643891360959905,12747
"(21800.0, 29800.0]",705095.144577365,325.8471489115611,12706,0.04989768613253581,0.0019316927802671077,12706,0.29356209664725325,0.004040170117904369,12706,0.8446403274043759,0.0032137916679851708,12706,0.18597512985990872,0.0034519058146375596,12706,0.004643475523374784,0.000603147565777231,12706,2014.1977018731309,0.027704467317056097,12706,2013.2635762631828,0.027704792671656483,12706
"(29800.0, 42200.0]",705565.4986620494,326.88786436604636,12706,0.05816149850464348,0.002076436617779004,12706,0.2994648197701873,0.00406350263190852,12706,0.8560522587753817,0.0031143343170834193,12706,0.19872501180544624,0.0035402157042272744,12706,0.004643475523374784,0.000603147565777231,12706,2014.1156146702344,0.027826037575249946,12706,2013.1762159609634,0.027840870209877137,12706
"(42200.0, 63035.6]",705480.0676091936,324.46153795694886,12661,0.06294921412210726,0.0021585388423484625,12661,0.31435115709659583,0.004126117131783781,12661,0.8697575231024406,0.002991290333639027,12661,0.20551299265460865,0.00359125454438798,12661,0.0048969275728615435,0.0006204103310925422,12661,2014.1548850801673,0.02782804809659159,12661,2013.2107258510387,0.027806575119188128,12661
"(63035.6, 102000.0]",704818.361602619,324.38380897270076,12829,0.07319354587263231,0.0022995954606074656,12829,0.34531140385065084,0.004198009074029782,12829,0.8935224881128693,0.0027233421957425755,12829,0.2053940291527009,0.0035668951527407546,12829,0.004287161898822979,0.0005768627817601547,12829,2014.1942474082157,0.02738858247150558,12829,2013.2514615324656,0.02744408544240819,12829
"(102000.0, 185268.8]",705487.519520711,327.4200783785389,12602,0.09117600380891921,0.0025643521449922437,12602,0.36986192667830503,0.004300660582248295,12602,0.9151721948897,0.0024820928158483337,12602,0.2129820663386764,0.003647214675262771,12602,0.0034121568005078557,0.000519481130463155,12602,2014.1756070465005,0.027391649471580723,12602,2013.2363116965562,0.02748344177525481,12602
"(185268.8, 440000.0]",704731.3626511701,325.20244832591044,12734,0.1004397675514371,0.0026638060683214534,12734,0.40482173708182817,0.0043500081764825775,12734,0.9350557562431286,0.002183854583142866,12734,0.20056541542327627,0.003548576077050396,12734,0.00369090623527564,0.0005374006456029344,12734,2014.2215329040364,0.026938543732234123,12734,2013.2816868226794,0.027142963530364227,12734
"(440000.0, 112139463.0]",705061.0015750512,326.880475113872,12698,0.12411403370609544,0.0029260629790285927,12698,0.42739014017955584,0.004390268691528067,12698,0.9570798550952906,0.0017986808776400403,12698,0.15285871790833203,0.0031935408036032984,12698,0.002441329343203654,0.0004379573806470949,12698,2013.772798865963,0.027343929612017273,12698,2012.8451724681051,0.027313526906519305,12698
