channel_id,money,channel_category,channel_not_avalible_dec_2020
UC595wqznMGuY2mi6DKx-qnQ,260562.92722909676,Manosphere,False
UC72vWiZdUN_Y2OC2RgJ-dvA,258552.29760233525,Alt-lite,False
UCcmnLu5cGUGeLy744WS-fsg,244847.394596552,Manosphere,False
UCcOtHMt1S9Nl4Pycp-FWd8Q,240778.70715919696,Manosphere,False
UCAlVRoYjDbgLx7j6O2N8-2g,237479.1615865491,Manosphere,False
UC6cMYsKMx6XicFcFm7mTsmA,210797.04258017917,Alt-lite,False
UCpiCH7qvGVlzMOqy3dncA5Q,113223.57114120053,Alt-lite,False
UC2h3yPmh9TfQv2z3aTDTHHA,102905.46726562358,Alt-lite,True
UCP9oVEmpxbxmHd1_s3w6wTw,102905.46726562358,Alt-right,False
UCowcNKm1w2GGw5U_XQeduhg,102905.46726562358,Alt-right,True
UCDoNFQZqQpd6aL32Ua4JPTQ,81838.65184709906,Manosphere,False
UC7SeFWZYFmsm1tqWxfuOTPQ,73516.98554462222,Alt-lite,False
UCLUrVTVTA3PnUFpYvpfMcpg,38094.368685139234,Alt-lite,False
UCplXdu0g94UynzYCmO2zOjw,35299.92484780191,Alt-lite,True
UC659f8KdxrINaB3Ta7TEZzg,35299.92484780191,Alt-lite,True
UCl3RCEtooHD5bhPCHJw3btA,29991.31412928983,Alt-lite,False
UCbJx13WCQq8mpbaIwz6Oanw,29561.31645765366,Manosphere,False
UCwd_sSDZ8EQt6SEeOO2tBRA,28053.040522396972,Manosphere,False
UCIibK0GTXCaQCAamJAepm1g,26822.14381791327,Alt-lite,False
UCfYbb7nga6-icsFWWgS-kWw,26749.890988299754,Alt-lite,False
UCT9D87j5W7PtE7NHOR5DUOQ,24604.006158422304,Alt-lite,False
UC4ayoBG3GC0TtiOVX9y2_IQ,24063.880967813842,Manosphere,False
UCuErSr7xeR763BzTJL7yJ7A,23746.848455770454,Manosphere,False
UCsWnDtLWKEMJHKYCc9647yQ,22665.897207499933,Alt-lite,False
UClfqxOGWFlOMQWpIhbhzL2w,21757.662304682588,Manosphere,False
UC7PfGhJXlJiDs4jvGGGgqsQ,21372.600886499407,Manosphere,False
UCvlBoX4hBrM2yUglBQcYVHg,21372.600886499407,Manosphere,False
UC8eLDzfH6YfZRDbDuMsNWiA,19790.35760418224,Manosphere,False
UCLrVxw4H4ZJ3LovpdbzF7bw,18649.129406277276,Alt-lite,False
UCFUC7NaTxZanB_FVOJN92eg,15779.716448281206,Alt-right,True
