channel_id,alt_category,start_year,views_2017,videos_2017,views_2017_quantile,videos_2017_quantile,views_2018,videos_2018,views_2018_quantile,videos_2018_quantile,views_2019,videos_2019,views_2019_quantile,videos_2019_quantile,monetized_videos,videos,monetized_percentage,avg_no_monetization,median_no_monetization,start_month,monetize_start_abs,monetize_start_rel,videos_with_donation,donation_percentage,videos_with_crypto,crypto_percentage,videos_with_merch_others,merch_others_percentage,videos_with_merch_channel,merch_channel_percentage
UCCPdJGdV3Qgm-mRe6ZbDdWA,None,2014,404427.0,112.0,2,4,1032673.0,92.0,2,3,110892.0,21.0,1,2,270.0,370,0.7297297297297297,2.7945945945945945,1.0,98,105.0,7.0,157.0,0.4243243243243243,0.0,0.0,253.0,0.6837837837837838,0.0,0.0
UC-FIowkUpK-L9sfZRCef_iw,Manosphere,2014,831686.0,110.0,2,4,564980.0,79.0,2,3,63821.0,20.0,1,2,143.0,614,0.23289902280130292,0.23941368078175895,0.0,99,101.0,2.0,0.0,0.0,0.0,0.0,143.0,0.23289902280130292,1.0,0.0016286644951140066
UCfNWf9YsYrnZZtiTSqL9f6w,None,2017,21.0,2.0,1,1,1571.0,83.0,0,3,417.0,34.0,0,2,0.0,119,0.0,0.0,0.0,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-Or4JV-ikWES6ZwCVN__PA,Manosphere,2017,2001.0,9.0,1,1,32756.0,61.0,0,3,16740.0,26.0,0,2,3.0,96,0.03125,0.03125,0.0,141,141.0,0.0,0.0,0.0,0.0,0.0,3.0,0.03125,0.0,0.0
UCZNbfx5OK_g_36R4AIGMrQg,None,2017,8627.0,13.0,1,2,6465.0,21.0,0,1,170.0,1.0,0,0,0.0,35,0.0,0.0,0.0,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC53xy_lISZ80dAj3kKT84HA,None,2017,174629.0,19.0,1,2,56755.0,17.0,0,1,12859.0,4.0,0,0,39.0,40,0.975,3.15,2.5,140,140.0,0.0,0.0,0.0,0.0,0.0,39.0,0.975,0.0,0.0
UCmzjD8K7LfpkYs-hs3fZP1w,Alt-right,2017,114329.0,28.0,1,2,18358.5,11.0,0,1,0.0,0.0,0,0,16.0,39,0.41025641025641024,0.5384615384615384,0.0,135,137.0,2.0,16.0,0.41025641025641024,0.0,0.0,5.0,0.1282051282051282,0.0,0.0
UC-gs1e4-V16TM5mgo5d_xuw,Manosphere,2017,53211.0,13.0,1,2,35225.0,15.0,0,1,2047.0,3.0,0,0,0.0,31,0.0,0.0,0.0,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC3qiiZEDISBYREijEXMVSFQ,None,2016,25864608.0,201.0,4,4,11354079.0,62.0,4,3,1545909.0,13.0,3,1,103.0,330,0.31212121212121213,0.3151515151515151,0.0,127,133.0,6.0,102.0,0.3090909090909091,0.0,0.0,1.0,0.0030303030303030303,1.0,0.0030303030303030303
UC-jlxuVAVEl2PXTaGno7gSA,Alt-lite,2016,17985567.0,100.0,4,4,22776196.5,55.0,4,3,1053058.0,14.0,3,1,274.0,279,0.982078853046595,2.7562724014336917,2.0,127,127.0,0.0,274.0,0.982078853046595,0.0,0.0,0.0,0.0,59.0,0.2114695340501792
